id,name,artist,album
TR:90539736,Already Over,Sabrina Carpenter,emails i can’t send fwd:
TR:15688742,Do It All for You,Alan Walker,Different World
TR:62934366,I'm Yours (Original Version),Alessia Cara,Know-It-All (Deluxe)
TR:2405878,Women's Sexual Fantasies,Neal Brennan,Women and Black Dudes
TR:32480678,Napkins in Asia - Asian American,Jim Gaffigan,The Pale Tourist
TR:12694862,Living With Women,Andrew Schulz,5:5:1
TR:15688735,Lily,"Alan Walker, K-391 & Emelie Hollow",Different World
TR:85320112,ray of truth,Ayumi Hamasaki,Remember you
TR:34670424,Glad,Tori Kelly,Solitude
TR:73296476,Dearest,Ayumi Hamasaki,Dearest
TR:12694860,Egypt Pyramids,Andrew Schulz,5:5:1
TR:787735,I Wanna Be With You,Mandy Moore,Center Stage (Soundtrack)
TR:62944924,Bam Bam (feat. Ed Sheeran),Camila Cabello,Familia
TR:48997555,A Little Space,Pentatonix,The Lucky Ones (Deluxe)
TR:13697361,goodnight n go,Ariana Grande,Sweetener
TR:49360269,Middle Ground (feat. CHIKA),Alessia Cara,In The Meantime
TR:20014913,Can You Feel the Love Tonight,Pentatonix,Can You Feel the Love Tonight (Single)
TR:35800131,Mad World,Pentatonix,Mad World (Single)
TR:80099499,homura,LiSA,LANDER
TR:2179476,One Day More,Les Miserables Cast (Motion Picture),Les Misérables: The Motion Picture Soundtrack Deluxe (Deluxe Edition)
TR:11468616,Stay,Pentatonix,"PTX Presents: Top Pop, Vol. I"
TR:25245069,Until Forever,Tori Kelly,Inspired by True Events (Deluxe Edition)
TR:25245063,Coffee,Tori Kelly,Inspired by True Events (Deluxe Edition)
TR:48997560,It's Different Now,Pentatonix,The Lucky Ones (Deluxe)
TR:15103705,A Million Dreams,P!nk,A Million Dreams (Single)
TR:96912,Cry,Mandy Moore,Mandy Moore
TR:12982351,First Love,Hikaru Utada,First Love
TR:40518887,Skin,Sabrina Carpenter,Skin (Single)
TR:34670423,Unbothered,Tori Kelly,Solitude
TR:7246301,I Dreamed A Dream,Patti LuPone,Les Misérables Highlights (Original London Cast Recording)
TR:9827490,"Wind in My Hair (From ""Tangled: Before Ever After"")",Mandy Moore,"Wind in My Hair (From ""Tangled: Before Ever After"")"
TR:15462966,Rewrite The Stars,James Arthur & Anne-Marie,The Greatest Showman: Reimagined
